Day,Temperature (F),Description
Tonight,20,A clear sky and a gentle breeze
Sunday 22nd DecemberSun 22nd,20,Sunny and a gentle breeze
Monday 23rd DecemberMon 23rd,19,Thundery showers and a gentle breeze
Tuesday 24th DecemberTue 24th,20,Sunny intervals and a moderate breeze
Wednesday 25th DecemberWed 25th,19,Sunny and a gentle breeze
Thursday 26th DecemberThu 26th,17,Sunny and a moderate breeze
Friday 27th DecemberFri 27th,17,Sunny and a moderate breeze
Saturday 28th DecemberSat 28th,17,Light rain showers and a moderate breeze
Sunday 29th DecemberSun 29th,18,Light rain showers and a gentle breeze
Monday 30th DecemberMon 30th,18,Light rain showers and a gentle breeze
Tuesday 31st DecemberTue 31st,18,Light cloud and a gentle breeze
Wednesday 1st JanuaryWed 1st,18,Light rain showers and a gentle breeze
Thursday 2nd JanuaryThu 2nd,18,Sunny intervals and a gentle breeze
